"","instituicao","depto","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","servico","tempodeservico","religiao","religiao.outras","contato.tema","lida.com","onde.lida.com","lida.com.outros","ps001","ps002","ps003","ps004","ps005","ps006","ps007","ps008","ps009","ps010","ps011","ps012","ps013","ps014","ps015","ps016","ps017","ps018","ps019","ps020","ps021","ps022","ps023","ps024","ps025","ps026","ps027","ps028","ps029","ps030","ps031","ps032","ps033","ps034","ps035","ps036","ps037","ps038","ps039","ps040","ps041","ps042"
"144","",NA,"Finalizadas","12 maio 2014  20:01","12 maio 2014  20:11","9 minutos 41 segundos","Sim","34","Feminino","Pós-graduação","Solteiro (a)",NA,NA,"professor",NA,"11","Evangélica",NA,"Não","Não",NA,NA,"2","4","2","2","2","2","2","2","1","1","2","1","1","2","5","3","1","4","2","3","4","2","2","4","2","2","2","2","2","2","5","5","3","4","4","3","4","3","3","1","2","2"
"145","",NA,"Finalizadas","12 maio 2014  20:04","12 maio 2014  20:18","14 minutos 32 segundos","Sim","40","Feminino","Pós-graduação","Casado (a)",NA,"MESTRADO  GESTÃO E AVALIAÇÃO DA EDUCAÇÃO PUBLICA","DOCENTE","GESTORA ESCOLAR","20","Católica",NA,"Sim","Sim","Escola",NA,"1","2","4","1","2","2","2","1","1","2","2","1","1","1","4","2","1","1","1","1","5","2","1","4","1","2","1","1","1","2","4","5","2","4","4","3","4","4","2","1","1","5"
"146","",NA,"Finalizadas","12 maio 2014  20:12","12 maio 2014  20:24","11 minutos 55 segundos","Sim","54","Feminino","Pós-graduação","Casado (a)",NA,"Graduada em Pedagogia com especialização em Psicopedagogia","Coordenadora pedagógica da rede municipal de ensino de Juiz de Fora/MG","Atuando como coordenadora pedagógica no Departamento de Educação Infantil/ Secretaria de Educação Juiz de Fora/MG","31","Católica",NA,"Não","Não",NA,NA,"2","2","2","2","2","2","2","2","2","2","4","4","2","2","4","2","2","2","2","2","4","2","2","1","2","1","2","2","2","1","2","4","1","2","4","2","4","3","2","2","1","2"
"147","",NA,"Em progresso","12 maio 2014  20:16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","",NA,"Finalizadas","12 maio 2014  21:33","12 maio 2014  21:53","20 minutos","Sim","39","Feminino","Pós-graduação","Casado (a)",NA,"Pós- graduação Educação Infantil","Professora","Escola Municipal","12","Católica",NA,"Não","Sim","Escola",NA,"2","3","4","3","2","2","2","2","1","2","2","2","3","2","4","2","2","3","3","2","4","2","3","4","4","2","3","4","2","2","4","3","4","4","4","4","4","3","2","2","2","5"
"149","",NA,"Finalizadas","13 maio 2014  12:42","13 maio 2014  12:58","15 minutos 55 segundos","Sim","30","Feminino","Pós-graduação","Solteiro (a)",NA,"Psicologia","Estudante de Doutorado",NA,NA,"Católica",NA,"Sim","Sim","Serviços de Saúde",NA,"1","1","1","1","1","1","1","1","4","2","1","1","1","5","5","1","1","1","1","1","3","1","1","5","2","1","1","1","1","1","5","5","1","5","5","4","5","5","1","1","1","1"
"150","",NA,"Finalizadas","13 maio 2014  15:06","13 maio 2014  15:18","12 minutos 1 segundo","Sim","36","Feminino","Pós-graduação","Solteiro (a)",NA,"curso superior em Direito","advogada","professora","12 anos","Espírita",NA,"Sim","Não",NA,NA,"2","2","2","1","2","2","2","1","2","1","2","1","2","4","4","2","1","2","2","1","4","4","1","1","2","1","1","2","1","1","5","5","2","5","4","4","4","2","4","1","1","2"
"151","",NA,"Finalizadas","13 maio 2014  19:12","13 maio 2014  19:34","21 minutos 43 segundos","Sim","33","Feminino","Pós-graduação","Casado (a)",NA,"Licenciatura em Letras","Secretária Executiva",NA,"13","Evangélica",NA,"Não","Não",NA,NA,"2","4","3","2","3","2","2","2","2","1","3","2","2","2","5","2","1","1","1","2","3","4","3","5",NA,"1","2","3","1","1","3","4","3","3","3","3","2","3","3","2","2","3"
"152","",NA,"Finalizadas","13 maio 2014  21:15","13 maio 2014  21:29","13 minutos 33 segundos","Sim","26","Feminino","Pós-graduação","Casado (a)",NA,"Mestrado em educação","professora","professora","5","Sem religião",NA,"Sim","Sim","Outros","amigos","2","2","4","2","3","3","2","3","2","2","2","3","2","4","4","3","1","2","1","3","4","4","1","5","3","1","2","2","2","1","4","4","3","4","4","3","4","4","2","1","2","2"
"153","",NA,"Finalizadas","13 maio 2014  21:36","13 maio 2014  22:14","37 minutos 55 segundos","Sim","33","Feminino","Pós-graduação","Casado (a)",NA,"Pedagoga","Professora","Professora","8","Evangélica",NA,"Não","Não",NA,NA,"3","4","3","3","4","4","5","3","1","4","4","3","1","1","5","5","1","4","3","3","3","5","2","5","4","2","1","1","1","1","4","4","2","4","4","3","2","3","2","2","2","2"
